id_colaborador,nome,sexo,idade,faixa_etaria,estado_civil,escolaridade,cidade,estado,regional,centro_distribuicao,pcd,data_admissao,tempo_empresa,gestor,tipo_contrato,modelo_trabalho,status
12,Maria Clara Castro,Feminino,25,25-34,Divorciado,Pós,Campinas,SP,Sudeste,CD Campinas,Não,2016-08-13,9.9,Dr. Gustavo Henrique Rios,CLT,Presencial,Ativo
13,Brayan Pereira,Feminino,24,18-24,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Não,2021-08-27,4.8,Eloá Nascimento,CLT,Presencial,Ativo
14,Srta. Elisa Martins,Feminino,52,45-54,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Sim,2016-02-05,10.4,Júlia Porto,CLT,Presencial,Ativo
15,Dra. Hellena Rodrigues,Feminino,18,18-24,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2019-05-04,7.2,Sr. Ian Andrade,CLT,Presencial,Ativo
16,Dr. João Felipe Azevedo,Masculino,21,18-24,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2025-01-21,1.4,Levi Cunha,CLT,Presencial,Ativo
17,Sara Gonçalves,Feminino,47,45-54,Casado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2025-02-07,1.4,Natália Casa Grande,CLT,Presencial,Ativo
18,Davi Miguel da Cruz,Feminino,30,25-34,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2018-12-02,7.6,Dra. Zoe da Luz,CLT,Presencial,Ativo
19,Dra. Mariane Pacheco,Feminino,33,25-34,Casado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2019-01-27,7.4,Maria Cecília Câmara,CLT,Presencial,Ativo
20,Thomas Monteiro,Masculino,45,45-54,Solteiro,Pós,Curitiba,PR,Sul,CD Curitiba,Não,2016-09-21,9.8,Benicio Camargo,CLT,Presencial,Ativo
21,Emanuel Vieira,Feminino,31,25-34,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2018-01-20,8.4,Mariana Peixoto,CLT,Presencial,Ativo
22,Matheus Garcia,Feminino,46,45-54,Casado,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2016-03-31,10.3,Nina Moura,CLT,Presencial,Ativo
23,Yuri Albuquerque,Masculino,26,25-34,Casado,Pós,Campinas,SP,Sudeste,CD Campinas,Não,2020-04-04,6.2,Bruna Rodrigues,Temporário,Presencial,Ativo
24,Juliana Vargas,Feminino,50,45-54,Divorciado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Sim,2024-03-25,2.3,Manuela Camargo,CLT,Presencial,Ativo
25,Pedro Henrique Castro,Masculino,48,45-54,Divorciado,Superior,Recife,PE,Nordeste,CD Recife,Não,2020-06-21,6.0,Agatha Silveira,CLT,Presencial,Inativo
26,Sra. Sarah Teixeira,Feminino,38,35-44,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2016-09-06,9.8,Thiago Caldeira,CLT,Presencial,Ativo
27,Letícia Porto,Masculino,52,45-54,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2017-03-22,9.3,Fernanda Cassiano,CLT,Presencial,Ativo
28,Sr. Vitor Hugo Vasconcelos,Masculino,26,25-34,Solteiro,Fundamental,Salvador,BA,Nordeste,CD Salvador,Sim,2021-04-19,5.2,Agatha Peixoto,CLT,Presencial,Ativo
29,Dr. Antony Camargo,Masculino,42,35-44,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2022-04-15,4.2,Dr. Isaque Araújo,CLT,Híbrido,Ativo
30,Bruno Barros,Masculino,33,25-34,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2020-11-09,5.6,Sra. Ana Lívia Teixeira,CLT,Presencial,Ativo
31,Carolina Cardoso,Masculino,22,18-24,Solteiro,Médio,Curitiba,PR,Sul,CD Curitiba,Não,2023-03-27,3.3,Olívia Novaes,CLT,Presencial,Ativo
32,João Moura,Feminino,35,35-44,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Não,2025-04-16,1.2,Mariana Cunha,CLT,Presencial,Ativo
33,Gabriela Silva,Masculino,44,35-44,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2021-08-01,4.9,Murilo Rios,CLT,Híbrido,Ativo
34,Maria Fernanda Macedo,Masculino,29,25-34,Casado,Pós,São Paulo,SP,Sudeste,CD São Paulo,Não,2019-08-12,6.9,Milena Campos,CLT,Presencial,Ativo
35,Henry Gabriel Azevedo,Masculino,21,18-24,Solteiro,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2019-06-02,7.1,Sr. Yuri da Conceição,CLT,Presencial,Ativo
36,Hellena Abreu,Masculino,25,25-34,Solteiro,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2019-02-15,7.4,Bento da Conceição,CLT,Presencial,Ativo
37,Arthur Gabriel Farias,Masculino,42,35-44,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2016-12-11,9.6,Théo da Costa,CLT,Híbrido,Ativo
38,Ryan Cunha,Masculino,44,35-44,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2019-12-01,6.6,Caroline Silveira,CLT,Presencial,Ativo
39,Olívia da Cruz,Masculino,39,35-44,Casado,Técnico,Recife,PE,Nordeste,CD Recife,Não,2021-02-22,5.4,Maria Luísa Correia,CLT,Remoto,Ativo
40,Calebe Ribeiro,Masculino,56,55+,Casado,Técnico,São Paulo,SP,Sudeste,CD São Paulo,Não,2017-03-04,9.3,Maria Lima,CLT,Presencial,Inativo
41,Nina Siqueira,Masculino,43,35-44,Casado,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2025-05-13,1.1,Carlos Eduardo Araújo,Aprendiz,Presencial,Inativo
42,Maitê Caldeira,Feminino,30,25-34,Solteiro,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2024-08-22,1.9,Gael Correia,CLT,Presencial,Ativo
43,Melissa Carvalho,Feminino,35,35-44,Solteiro,Médio,Salvador,BA,Nordeste,CD Salvador,Não,2017-06-04,9.1,Emilly da Mota,CLT,Presencial,Ativo
44,Isadora Barbosa,Feminino,34,25-34,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Sim,2016-12-07,9.6,Beatriz Aragão,CLT,Presencial,Ativo
45,Ágatha Albuquerque,Feminino,35,35-44,Solteiro,Fundamental,Brasília,DF,Centro-Oeste,CD Brasília,Não,2023-06-16,3.0,Isaac Cavalcante,CLT,Presencial,Ativo
46,Raquel Mendes,Feminino,43,35-44,Divorciado,Superior,Recife,PE,Nordeste,CD Recife,Não,2018-07-27,7.9,Murilo Araújo,CLT,Presencial,Ativo
47,Mateus Abreu,Feminino,28,25-34,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2016-02-16,10.4,Julia Viana,CLT,Presencial,Ativo
48,Laura Lima,Feminino,47,45-54,Casado,Superior,Curitiba,PR,Sul,CD Curitiba,Não,2022-02-13,4.4,Dra. Raquel Cassiano,CLT,Presencial,Ativo
49,Juan Cunha,Masculino,30,25-34,Casado,Superior,Curitiba,PR,Sul,CD Curitiba,Não,2016-01-29,10.4,Vitor Hugo Araújo,CLT,Presencial,Ativo
50,Sra. Ana Laura Aragão,Feminino,55,55+,Solteiro,MBA,Brasília,DF,Centro-Oeste,CD Brasília,Não,2018-08-21,7.9,Pietra Montenegro,CLT,Presencial,Ativo
51,Eduarda Araújo,Masculino,31,25-34,Casado,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2025-10-28,0.7,Anna Liz Cirino,CLT,Presencial,Ativo
52,Bernardo Rocha,Masculino,26,25-34,Solteiro,Superior,Campinas,SP,Sudeste,CD Campinas,Não,2018-09-14,7.8,Nathan Campos,CLT,Presencial,Ativo
53,Isadora Pacheco,Feminino,44,35-44,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2023-07-08,3.0,Ana Cecília Pinto,CLT,Presencial,Ativo
54,Otto Ribeiro,Masculino,27,25-34,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Não,2018-11-20,7.6,Stephany Dias,CLT,Presencial,Inativo
55,Gustavo Rios,Feminino,36,35-44,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Não,2017-07-25,8.9,Sra. Isabella da Luz,CLT,Híbrido,Inativo
56,Caroline Rios,Masculino,35,35-44,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2021-10-27,4.7,Letícia Marques,CLT,Presencial,Ativo
57,Sr. Anthony Marques,Feminino,23,18-24,Casado,Médio,Curitiba,PR,Sul,CD Curitiba,Não,2020-08-09,5.9,Beatriz Barbosa,CLT,Presencial,Ativo
58,Hadassa Montenegro,Feminino,28,25-34,Solteiro,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Não,2017-01-12,9.5,Davi Lucca Ferreira,CLT,Presencial,Inativo
59,Joaquim Freitas,Masculino,36,35-44,Solteiro,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Sim,2021-08-20,4.9,Emanuel Macedo,CLT,Presencial,Ativo
60,Liz Pimenta,Feminino,47,45-54,Solteiro,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2022-02-19,4.4,Vitória Albuquerque,CLT,Presencial,Ativo
61,Letícia Ribeiro,Feminino,25,25-34,Casado,Técnico,Campinas,SP,Sudeste,CD Campinas,Não,2024-10-03,1.7,Davi Luiz da Luz,CLT,Presencial,Ativo
62,Cauê Souza,Feminino,42,35-44,Casado,Técnico,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2016-12-18,9.5,Daniela da Mata,CLT,Presencial,Ativo
63,Gustavo Henrique Silva,Feminino,18,18-24,Solteiro,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2023-12-24,2.5,Sr. João Montenegro,CLT,Presencial,Ativo
64,Isis Aragão,Feminino,18,18-24,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2020-01-12,6.5,Otávio da Mota,CLT,Híbrido,Ativo
65,Alexandre Farias,Feminino,35,35-44,Divorciado,Fundamental,Curitiba,PR,Sul,CD Curitiba,Não,2021-01-21,5.4,João Castro,CLT,Presencial,Ativo
66,Sra. Mariane Novais,Feminino,38,35-44,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Não,2019-06-28,7.0,Daniel Barbosa,CLT,Presencial,Ativo
67,Srta. Ísis Andrade,Feminino,36,35-44,Solteiro,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2024-12-08,1.6,Sr. Pedro Cardoso,CLT,Presencial,Inativo
68,Leandro Fonseca,Feminino,33,25-34,Divorciado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2017-11-18,8.6,Luiz Henrique Costela,CLT,Presencial,Ativo
69,Isadora Rios,Feminino,44,35-44,Casado,Médio,São Paulo,SP,Sudeste,CD São Paulo,Sim,2019-12-11,6.6,Luiz Gustavo Vasconcelos,CLT,Presencial,Inativo
70,Maria Luísa Pinto,Masculino,43,35-44,Solteiro,Pós,Campinas,SP,Sudeste,CD Campinas,Não,2018-08-01,7.9,Srta. Isabela Castro,Temporário,Presencial,Ativo
71,Noah Alves,Masculino,25,25-34,Casado,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2024-10-20,1.7,Lucas Gabriel Viana,CLT,Presencial,Ativo
72,Isadora da Mata,Masculino,36,35-44,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Não,2019-05-28,7.1,Cauê Garcia,CLT,Presencial,Ativo
73,Ravy Câmara,Masculino,43,35-44,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Não,2017-04-27,9.2,Raul Ferreira,CLT,Presencial,Ativo
74,Ian Câmara,Masculino,20,18-24,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2020-05-22,6.1,Gael Guerra,CLT,Presencial,Ativo
75,Dr. Bernardo Vargas,Feminino,50,45-54,Casado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Não,2022-08-25,3.9,Luiz Fernando Ramos,CLT,Híbrido,Ativo
76,Maria Liz Rocha,Feminino,36,35-44,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2025-11-22,0.6,Luísa Alves,CLT,Presencial,Ativo
77,José Pedro Cavalcanti,Feminino,37,35-44,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2018-04-14,8.2,Julia Andrade,CLT,Presencial,Ativo
78,Pedro Henrique Ferreira,Feminino,34,25-34,Casado,Superior,Campinas,SP,Sudeste,CD Campinas,Não,2016-05-09,10.2,Sra. Maya Pereira,CLT,Híbrido,Ativo
79,Bruna Gomes,Masculino,37,35-44,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Não,2024-06-10,2.1,Esther da Cunha,CLT,Presencial,Ativo
80,Pedro Henrique Abreu,Feminino,23,18-24,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2019-01-27,7.4,Zoe Rodrigues,CLT,Presencial,Ativo
81,Dra. Fernanda Fonseca,Masculino,35,35-44,Solteiro,Fundamental,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2020-10-30,5.7,Ana Lívia Rios,CLT,Presencial,Inativo
82,Dr. Davi Silveira,Masculino,44,35-44,Solteiro,Pós,Recife,PE,Nordeste,CD Recife,Não,2023-01-01,3.5,Thiago das Neves,Temporário,Presencial,Ativo
83,Maria Luísa Duarte,Masculino,29,25-34,Solteiro,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Sim,2018-02-14,8.4,Laís Novaes,CLT,Presencial,Ativo
84,Gael Leão,Feminino,43,35-44,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2022-10-25,3.7,Maria Helena Rocha,CLT,Presencial,Inativo
85,Srta. Liz Guerra,Masculino,27,25-34,Solteiro,Técnico,Salvador,BA,Nordeste,CD Salvador,Não,2018-02-19,8.4,Agatha da Rosa,CLT,Presencial,Ativo
86,Gustavo Henrique Lopes,Masculino,45,45-54,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Não,2019-06-10,7.1,Luna Martins,CLT,Presencial,Ativo
87,Melina Rocha,Masculino,29,25-34,Casado,Fundamental,São Paulo,SP,Sudeste,CD São Paulo,Não,2023-07-06,3.0,Thomas Melo,CLT,Presencial,Ativo
88,Srta. Antonella da Paz,Feminino,42,35-44,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2024-03-03,2.3,Lívia Borges,CLT,Presencial,Inativo
89,Leonardo Câmara,Feminino,30,25-34,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2018-05-20,8.1,Diogo Alves,CLT,Presencial,Ativo
90,Joaquim Melo,Masculino,27,25-34,Solteiro,Fundamental,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2018-09-24,7.8,Ana Sophia Marques,CLT,Remoto,Ativo
91,Evelyn Silva,Masculino,30,25-34,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2021-12-24,4.5,Sra. Sabrina Guerra,CLT,Presencial,Ativo
92,Diogo Rezende,Feminino,32,25-34,Divorciado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2025-03-20,1.3,Srta. Bianca Vasconcelos,CLT,Presencial,Inativo
93,Hellena Cavalcanti,Masculino,35,35-44,Solteiro,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2016-07-23,9.9,Dra. Nicole Aragão,CLT,Presencial,Inativo
94,Isadora Campos,Masculino,29,25-34,Solteiro,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2016-06-13,10.1,Catarina Martins,CLT,Presencial,Ativo
95,Vitória Novais,Masculino,27,25-34,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2025-12-27,0.5,Luiza Sá,CLT,Presencial,Ativo
96,Sofia Lima,Feminino,42,35-44,Casado,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Não,2023-08-23,2.9,Melissa Castro,CLT,Presencial,Ativo
97,Sra. Milena da Luz,Feminino,53,45-54,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Não,2017-04-29,9.2,João Guilherme Vargas,CLT,Presencial,Ativo
98,Raquel Pires,Masculino,25,25-34,Casado,Médio,Curitiba,PR,Sul,CD Curitiba,Não,2024-04-25,2.2,João Guilherme Macedo,CLT,Presencial,Ativo
99,João Pedro da Costa,Masculino,37,35-44,Solteiro,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2025-06-15,1.0,Lucas Gabriel Dias,CLT,Presencial,Ativo
100,Anna Liz Carvalho,Feminino,35,35-44,Solteiro,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2019-01-03,7.5,Igor Gomes,CLT,Presencial,Ativo
101,Srta. Hadassa Azevedo,Feminino,41,35-44,Casado,Médio,São Paulo,SP,Sudeste,CD São Paulo,Não,2021-01-12,5.5,Maria Luísa Farias,CLT,Presencial,Ativo
102,Nina Leão,Feminino,42,35-44,Viúvo,Técnico,São Paulo,SP,Sudeste,CD São Paulo,Não,2017-02-27,9.3,Gustavo Leão,CLT,Presencial,Ativo
103,Alícia Teixeira,Feminino,24,18-24,Viúvo,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Sim,2023-11-07,2.6,Maria Helena Mendes,CLT,Presencial,Ativo
104,Luiz Gustavo da Rosa,Feminino,18,18-24,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Não,2025-08-17,0.9,Mariah Nascimento,CLT,Presencial,Ativo
105,Dra. Ísis Pereira,Masculino,29,25-34,Divorciado,Fundamental,Curitiba,PR,Sul,CD Curitiba,Não,2017-08-01,8.9,Ryan Câmara,CLT,Presencial,Ativo
106,Pedro Henrique Mendonça,Feminino,32,25-34,Casado,Técnico,Curitiba,PR,Sul,CD Curitiba,Não,2021-01-21,5.4,Mathias Fernandes,CLT,Presencial,Inativo
107,Maria Luiza Silveira,Feminino,38,35-44,Solteiro,Superior,Salvador,BA,Nordeste,CD Salvador,Não,2026-03-19,0.3,Ravi Lucca Cardoso,CLT,Híbrido,Ativo
108,Yasmin Alves,Masculino,33,25-34,Casado,Fundamental,São Paulo,SP,Sudeste,CD São Paulo,Não,2020-09-06,5.8,Amanda Barros,CLT,Presencial,Ativo
109,Mariane Carvalho,Masculino,37,35-44,Casado,Fundamental,Campinas,SP,Sudeste,CD Campinas,Não,2017-09-20,8.8,Emilly Aragão,CLT,Presencial,Ativo
110,Mateus Duarte,Masculino,18,18-24,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Não,2026-02-22,0.4,Rafael Duarte,CLT,Presencial,Ativo
111,Dr. João Lucas Sá,Feminino,35,35-44,Casado,Técnico,Recife,PE,Nordeste,CD Recife,Não,2024-12-17,1.5,Isis Barros,CLT,Presencial,Ativo
112,Allana Souza,Masculino,40,35-44,Solteiro,Pós,Salvador,BA,Nordeste,CD Salvador,Não,2021-07-30,4.9,Ana Júlia Ferreira,CLT,Presencial,Inativo
113,Bernardo Vasconcelos,Masculino,18,18-24,Solteiro,Médio,Curitiba,PR,Sul,CD Curitiba,Não,2024-08-06,1.9,Ana Cecília Sá,CLT,Presencial,Ativo
114,Josué Costa,Masculino,30,25-34,Solteiro,Médio,Recife,PE,Nordeste,CD Recife,Não,2022-05-09,4.1,Eduardo da Costa,CLT,Presencial,Ativo
115,Renan Rios,Masculino,34,25-34,Casado,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Não,2018-11-09,7.6,Henrique Martins,CLT,Presencial,Ativo
116,Sra. Maria Eduarda Cavalcante,Masculino,40,35-44,Casado,Pós,Curitiba,PR,Sul,CD Curitiba,Sim,2024-03-07,2.3,Bruna Vasconcelos,CLT,Híbrido,Ativo
117,Leonardo Caldeira,Masculino,42,35-44,Casado,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2023-10-12,2.7,Amanda das Neves,CLT,Presencial,Ativo
118,Maria Flor Gonçalves,Feminino,33,25-34,Solteiro,Superior,Recife,PE,Nordeste,CD Recife,Não,2021-07-08,5.0,Srta. Ana Vitória Pastor,CLT,Presencial,Ativo
119,Dra. Isabelly Caldeira,Masculino,18,18-24,Casado,Técnico,Recife,PE,Nordeste,CD Recife,Não,2020-04-05,6.2,Sra. Bárbara Vieira,CLT,Presencial,Ativo
120,Ana Cecília Ferreira,Masculino,29,25-34,Solteiro,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2023-09-24,2.8,Mariane Ribeiro,CLT,Presencial,Ativo
121,Sr. Thiago Ramos,Feminino,38,35-44,Solteiro,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2017-03-03,9.3,Sr. Otto Mendonça,CLT,Híbrido,Ativo
122,Pedro Fonseca,Masculino,18,18-24,Casado,Médio,São Paulo,SP,Sudeste,CD São Paulo,Não,2025-08-24,0.9,Natália Santos,CLT,Presencial,Ativo
123,Pedro Henrique Cavalcanti,Feminino,43,35-44,Solteiro,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2025-11-08,0.6,Dra. Júlia Pimenta,CLT,Presencial,Ativo
124,Rafaela Martins,Masculino,18,18-24,Casado,Técnico,Guarulhos,SP,Sudeste,CD Guarulhos,Sim,2017-07-11,9.0,Juliana Duarte,CLT,Presencial,Inativo
125,Caio da Mota,Masculino,35,35-44,Solteiro,Médio,Recife,PE,Nordeste,CD Recife,Não,2020-09-01,5.8,Isabelly Sá,CLT,Presencial,Ativo
126,Maria Helena Fernandes,Feminino,39,35-44,Solteiro,Médio,Recife,PE,Nordeste,CD Recife,Não,2023-04-11,3.2,Thales Duarte,CLT,Presencial,Ativo
127,Ryan Cunha,Masculino,45,45-54,Divorciado,Técnico,Campinas,SP,Sudeste,CD Campinas,Não,2018-12-08,7.6,Dr. Luigi da Mota,CLT,Presencial,Ativo
128,Kamilly Novais,Masculino,27,25-34,Viúvo,Técnico,Salvador,BA,Nordeste,CD Salvador,Não,2022-03-07,4.3,Valentim Correia,CLT,Híbrido,Ativo
129,Isaque Silveira,Masculino,35,35-44,Viúvo,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2022-01-10,4.5,Rebeca Novais,CLT,Presencial,Ativo
130,Renan Ramos,Masculino,30,25-34,Casado,Fundamental,Curitiba,PR,Sul,CD Curitiba,Não,2016-05-16,10.1,Sra. Melissa Vieira,CLT,Híbrido,Ativo
131,Caleb da Rocha,Masculino,45,45-54,Divorciado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2025-05-23,1.1,Nathan Sales,CLT,Presencial,Ativo
132,Leandro Ribeiro,Masculino,26,25-34,Divorciado,Pós,São Paulo,SP,Sudeste,CD São Paulo,Não,2023-08-12,2.9,Maria Eduarda Melo,CLT,Presencial,Ativo
133,Vitória Ferreira,Feminino,44,35-44,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Não,2025-10-16,0.7,Luísa Fogaça,CLT,Presencial,Ativo
134,Sra. Júlia das Neves,Masculino,45,45-54,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2021-05-11,5.1,Igor Campos,CLT,Presencial,Inativo
135,Srta. Luara Campos,Feminino,19,18-24,Casado,Técnico,Recife,PE,Nordeste,CD Recife,Não,2016-11-05,9.7,Dra. Ester Correia,CLT,Presencial,Ativo
136,Rodrigo da Mota,Feminino,33,25-34,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Não,2024-09-02,1.8,Dra. Valentina Peixoto,CLT,Híbrido,Ativo
137,Carlos Eduardo Correia,Masculino,36,35-44,Divorciado,Fundamental,Curitiba,PR,Sul,CD Curitiba,Não,2021-04-21,5.2,Ian Fonseca,CLT,Presencial,Ativo
138,Kevin Albuquerque,Feminino,35,35-44,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Não,2024-06-20,2.0,Dra. Carolina da Mota,CLT,Híbrido,Ativo
139,Benjamim Novaes,Feminino,41,35-44,Casado,MBA,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2023-02-19,3.4,Davi Lucas Porto,CLT,Presencial,Ativo
140,Bella Albuquerque,Feminino,50,45-54,Casado,Técnico,Guarulhos,SP,Sudeste,CD Guarulhos,Não,2020-01-31,6.4,Larissa Melo,Temporário,Presencial,Ativo
141,Maysa Fernandes,Masculino,45,45-54,Casado,Médio,Curitiba,PR,Sul,CD Curitiba,Não,2025-09-24,0.8,Benjamim da Cunha,CLT,Presencial,Ativo
142,Bruna Azevedo,Masculino,21,18-24,Casado,Pós,Campinas,SP,Sudeste,CD Campinas,Não,2019-06-25,7.0,Rebeca Barbosa,CLT,Presencial,Inativo
143,Ana Júlia Cassiano,Feminino,37,35-44,Casado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Não,2017-01-01,9.5,Kevin Barros,CLT,Presencial,Ativo
144,Dante Novais,Feminino,32,25-34,Casado,Médio,Recife,PE,Nordeste,CD Recife,Não,2018-08-03,7.9,Heloisa Vasconcelos,CLT,Presencial,Ativo
145,Maria Helena Machado,Masculino,43,35-44,Casado,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2019-10-24,6.7,Letícia Pastor,CLT,Presencial,Ativo
146,Lorena Nunes,Masculino,41,35-44,Solteiro,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Não,2016-05-14,10.1,Ana Liz Pimenta,Temporário,Presencial,Ativo
