id_colaborador,nome,sexo,idade,estado_civil,escolaridade,cidade,estado,regional,centro_distribuicao,departamento,cargo,gestor,data_admissao,tempo_empresa,salario,tipo_contrato,modelo_trabalho,pcd,status,turnover,motivo_desligamento,faltas,absenteismo,dias_afastamento,tipo_afastamento,horas_extras,banco_horas,sla_recrutamento,nota_desempenho,engajamento,horas_treinamento,promovido,ferias_pendentes
16,Dr. João Felipe Azevedo,Masculino,21,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Auxiliar Operacional,Levi Cunha,2025-01-21,"1,4",2596,CLT,Presencial,Não,Ativo,Não,,2,"4,06",5,INSS,52,-5,35,"4,4",69,25,Não,15
17,Sara Gonçalves,Feminino,47,Casado,Superior,São Paulo,SP,Sudeste,CD São Paulo,RH,Gerente,Natália Casa Grande,2025-02-07,"1,4",18348,CLT,Presencial,Não,Ativo,Não,,6,"2,46",2,INSS,29,40,60,"3,3",57,36,Não,11
18,Davi Miguel da Cruz,Feminino,30,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Transporte,Motorista,Dra. Zoe da Luz,2018-12-02,"7,6",4425,CLT,Presencial,Não,Ativo,Não,,3,"2,37",5,Acidente,43,4,30,"2,7",77,35,Não,9
19,Dra. Mariane Pacheco,Feminino,33,Casado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Centro de Distribuição,Supervisor,Maria Cecília Câmara,2019-01-27,"7,4",7872,CLT,Presencial,Não,Ativo,Não,,1,"3,13",15,INSS,47,-2,58,"2,8",88,35,Não,11
20,Thomas Monteiro,Masculino,45,Solteiro,Pós,Curitiba,PR,Sul,CD Curitiba,Atendimento,Supervisor,Benicio Camargo,2016-09-21,"9,8",8167,CLT,Presencial,Não,Ativo,Não,,0,"2,32",0,,6,10,14,"3,6",100,34,Não,22
21,Emanuel Vieira,Feminino,31,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Centro de Distribuição,Supervisor,Mariana Peixoto,2018-01-20,"8,4",8540,CLT,Presencial,Não,Ativo,Não,,4,"3,43",10,Acidente,11,15,15,"3,7",77,30,Não,18
22,Matheus Garcia,Feminino,46,Casado,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,RH,Analista,Nina Moura,2016-03-31,"10,3",5714,CLT,Presencial,Não,Ativo,Não,,4,"1,94",0,,9,-5,30,"3,4",84,10,Não,27
23,Yuri Albuquerque,Masculino,26,Casado,Pós,Campinas,SP,Sudeste,CD Campinas,Operações,Supervisor,Bruna Rodrigues,2020-04-04,"6,2",8353,Temporário,Presencial,Não,Ativo,Não,,2,"6,6",15,Licença Médica,56,5,17,"3,3",93,27,Não,27
24,Juliana Vargas,Feminino,50,Divorciado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Transporte,Supervisor,Manuela Camargo,2024-03-25,"2,3",7797,CLT,Presencial,Sim,Ativo,Não,,3,"1,76",5,Licença Médica,16,0,35,"2,4",54,24,Não,21
25,Pedro Henrique Castro,Masculino,48,Divorciado,Superior,Recife,PE,Nordeste,CD Recife,Financeiro,Assistente,Agatha Silveira,2020-06-21,6,3968,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,1,"1,42",2,Licença Médica,40,-20,58,"2,8",78,39,Não,1
26,Sra. Sarah Teixeira,Feminino,38,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Transporte,Supervisor,Thiago Caldeira,2016-09-06,"9,8",8252,CLT,Presencial,Não,Ativo,Não,,1,"4,63",0,,33,17,59,"3,2",91,33,Não,17
27,Letícia Porto,Masculino,52,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Transporte,Supervisor,Fernanda Cassiano,2017-03-22,"9,3",10472,CLT,Presencial,Não,Ativo,Não,,3,"3,34",2,INSS,33,27,20,"1,9",77,22,Não,22
28,Sr. Vitor Hugo Vasconcelos,Masculino,26,Solteiro,Fundamental,Salvador,BA,Nordeste,CD Salvador,Centro de Distribuição,Supervisor,Agatha Peixoto,2021-04-19,"5,2",8028,CLT,Presencial,Sim,Ativo,Não,,2,"2,91",0,,7,25,43,"2,9",81,13,Não,25
29,Dr. Antony Camargo,Masculino,42,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Last Mile,Motorista,Dr. Isaque Araújo,2022-04-15,"4,2",3518,CLT,Híbrido,Não,Ativo,Não,,3,"2,69",15,Licença Médica,46,38,60,"3,2",67,6,Não,2
30,Bruno Barros,Masculino,33,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Atendimento,Analista,Sra. Ana Lívia Teixeira,2020-11-09,"5,6",4625,CLT,Presencial,Não,Ativo,Não,,3,"3,81",15,Licença Médica,59,26,31,"2,4",74,33,Não,14
31,Carolina Cardoso,Masculino,22,Solteiro,Médio,Curitiba,PR,Sul,CD Curitiba,Last Mile,Motorista,Olívia Novaes,2023-03-27,"3,3",4326,CLT,Presencial,Não,Ativo,Não,,1,"2,32",0,,41,-12,12,"2,3",81,30,Não,7
32,João Moura,Feminino,35,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Last Mile,Coordenador,Mariana Cunha,2025-04-16,"1,2",12141,CLT,Presencial,Não,Ativo,Não,,3,"1,94",0,,19,-10,45,"3,8",84,12,Não,10
33,Gabriela Silva,Masculino,44,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Centro de Distribuição,Conferente,Murilo Rios,2021-08-01,"4,9",2618,CLT,Híbrido,Não,Ativo,Não,,1,"4,7",2,Licença Médica,9,35,20,"4,6",84,8,Sim,1
34,Maria Fernanda Macedo,Masculino,29,Casado,Pós,São Paulo,SP,Sudeste,CD São Paulo,Operações,Supervisor,Milena Campos,2019-08-12,"6,9",7600,CLT,Presencial,Não,Ativo,Não,,2,"3,34",0,,21,17,42,"3,7",66,22,Não,30
35,Henry Gabriel Azevedo,Masculino,21,Solteiro,Superior,São Paulo,SP,Sudeste,CD São Paulo,Centro de Distribuição,Auxiliar Operacional,Sr. Yuri da Conceição,2019-06-02,"7,1",2568,CLT,Presencial,Não,Ativo,Não,,4,"4,53",0,,46,-17,31,"1,8",88,1,Não,9
36,Hellena Abreu,Masculino,25,Solteiro,Superior,São Paulo,SP,Sudeste,CD São Paulo,Centro de Distribuição,Conferente,Bento da Conceição,2019-02-15,"7,4",2610,CLT,Presencial,Não,Ativo,Não,,1,"0,54",2,Acidente,37,-10,19,"3,6",100,39,Não,5
37,Arthur Gabriel Farias,Masculino,42,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Operações,Supervisor,Théo da Costa,2016-12-11,"9,6",10055,CLT,Híbrido,Não,Ativo,Não,,1,"4,41",0,,45,37,18,"3,3",63,28,Não,13
38,Ryan Cunha,Masculino,44,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Atendimento,Analista,Caroline Silveira,2019-12-01,"6,6",5074,CLT,Presencial,Não,Ativo,Não,,3,"5,05",0,,0,38,53,"3,8",68,23,Não,24
39,Olívia da Cruz,Masculino,39,Casado,Técnico,Recife,PE,Nordeste,CD Recife,Centro de Distribuição,Conferente,Maria Luísa Correia,2021-02-22,"5,4",2541,CLT,Remoto,Não,Ativo,Não,,1,"4,36",2,INSS,32,2,60,"2,1",75,18,Não,29
40,Calebe Ribeiro,Masculino,56,Casado,Técnico,São Paulo,SP,Sudeste,CD São Paulo,Operações,Auxiliar Operacional,Maria Lima,2017-03-04,"9,3",2543,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,1,"6,02",0,,28,25,43,"2,6",98,32,Não,22
41,Nina Siqueira,Masculino,43,Casado,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Tecnologia,Analista Sênior,Carlos Eduardo Araújo,2025-05-13,"1,1",9143,Aprendiz,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,2,"3,1",0,,7,-7,40,"2,8",77,17,Não,6
42,Maitê Caldeira,Feminino,30,Solteiro,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Last Mile,Motorista,Gael Correia,2024-08-22,"1,9",3604,CLT,Presencial,Não,Ativo,Não,,3,"4,24",5,Acidente,18,-11,39,"3,9",88,22,Não,16
43,Melissa Carvalho,Feminino,35,Solteiro,Médio,Salvador,BA,Nordeste,CD Salvador,Centro de Distribuição,Auxiliar Operacional,Emilly da Mota,2017-06-04,"9,1",1974,CLT,Presencial,Não,Ativo,Não,,1,"2,35",10,Acidente,39,16,34,"4,1",79,37,Não,25
44,Isadora Barbosa,Feminino,34,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Last Mile,Motorista,Beatriz Aragão,2016-12-07,"9,6",3780,CLT,Presencial,Sim,Ativo,Não,,1,"1,59",0,,20,30,45,"2,8",100,25,Não,28
45,Ágatha Albuquerque,Feminino,35,Solteiro,Fundamental,Brasília,DF,Centro-Oeste,CD Brasília,Transporte,Supervisor,Isaac Cavalcante,2023-06-16,3,10219,CLT,Presencial,Não,Ativo,Não,,2,"4,5",15,Acidente,48,-19,18,4,77,8,Não,7
46,Raquel Mendes,Feminino,43,Divorciado,Superior,Recife,PE,Nordeste,CD Recife,Last Mile,Motorista,Murilo Araújo,2018-07-27,"7,9",4392,CLT,Presencial,Não,Ativo,Não,,6,"1,43",5,Acidente,39,4,21,"2,9",67,14,Não,26
47,Mateus Abreu,Feminino,28,Casado,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Jurídico,Analista,Julia Viana,2016-02-16,"10,4",6021,CLT,Presencial,Não,Ativo,Não,,0,"3,55",5,INSS,31,14,27,"3,4",70,38,Não,16
48,Laura Lima,Feminino,47,Casado,Superior,Curitiba,PR,Sul,CD Curitiba,Last Mile,Coordenador,Dra. Raquel Cassiano,2022-02-13,"4,4",13769,CLT,Presencial,Não,Ativo,Não,,3,"3,73",15,Acidente,44,-8,22,"2,8",78,17,Não,2
49,Juan Cunha,Masculino,30,Casado,Superior,Curitiba,PR,Sul,CD Curitiba,Operações,Conferente,Vitor Hugo Araújo,2016-01-29,"10,4",3189,CLT,Presencial,Não,Ativo,Não,,3,"2,99",2,Acidente,48,32,55,"1,6",92,14,Não,8
50,Sra. Ana Laura Aragão,Feminino,55,Solteiro,MBA,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Auxiliar Operacional,Pietra Montenegro,2018-08-21,"7,9",2470,CLT,Presencial,Não,Ativo,Não,,1,"3,04",15,INSS,11,22,43,"2,5",67,25,Não,8
51,Eduarda Araújo,Masculino,31,Casado,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Supervisor,Anna Liz Cirino,2025-10-28,"0,7",9263,CLT,Presencial,Não,Ativo,Não,,1,"0,63",2,INSS,4,-17,23,"3,8",60,36,Não,1
52,Bernardo Rocha,Masculino,26,Solteiro,Superior,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Supervisor,Nathan Campos,2018-09-14,"7,8",8199,CLT,Presencial,Não,Ativo,Não,,1,"3,28",5,Acidente,28,-4,59,"3,5",64,39,Não,12
53,Isadora Pacheco,Feminino,44,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Auxiliar Operacional,Ana Cecília Pinto,2023-07-08,3,2580,CLT,Presencial,Não,Ativo,Não,,0,"3,66",5,Licença Médica,2,6,47,"2,8",75,6,Não,4
54,Otto Ribeiro,Masculino,27,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Comercial,Analista,Stephany Dias,2018-11-20,"7,6",5756,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,2,"3,01",10,Licença Médica,22,9,16,"3,2",67,9,Não,8
55,Gustavo Rios,Feminino,36,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Tecnologia,Gerente,Sra. Isabella da Luz,2017-07-25,"8,9",23353,CLT,Híbrido,Não,Inativo,Sim,Fim de Contrato,1,"2,68",0,,14,40,21,"3,6",66,6,Não,28
56,Caroline Rios,Masculino,35,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Operações,Conferente,Letícia Marques,2021-10-27,"4,7",2999,CLT,Presencial,Não,Ativo,Não,,2,"3,91",10,INSS,31,7,38,"3,9",88,20,Não,14
57,Sr. Anthony Marques,Feminino,23,Casado,Médio,Curitiba,PR,Sul,CD Curitiba,Centro de Distribuição,Supervisor,Beatriz Barbosa,2020-08-09,"5,9",8607,CLT,Presencial,Não,Ativo,Não,,1,"1,65",10,Acidente,56,29,16,"2,7",92,2,Não,28
58,Hadassa Montenegro,Feminino,28,Solteiro,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Auxiliar Operacional,Davi Lucca Ferreira,2017-01-12,"9,5",2400,CLT,Presencial,Não,Inativo,Sim,Fim de Contrato,1,"1,87",0,,2,-3,39,"2,7",96,17,Não,13
59,Joaquim Freitas,Masculino,36,Solteiro,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Tecnologia,Analista Sênior,Emanuel Macedo,2021-08-20,"4,9",9139,CLT,Presencial,Sim,Ativo,Não,,2,"3,78",0,,44,-8,39,"3,4",64,32,Não,12
60,Liz Pimenta,Feminino,47,Solteiro,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,Operações,Conferente,Vitória Albuquerque,2022-02-19,"4,4",2558,CLT,Presencial,Não,Ativo,Não,,5,"5,39",0,,37,-5,13,"3,6",86,5,Não,25
61,Letícia Ribeiro,Feminino,25,Casado,Técnico,Campinas,SP,Sudeste,CD Campinas,RH,Coordenador,Davi Luiz da Luz,2024-10-03,"1,7",11306,CLT,Presencial,Não,Ativo,Não,,2,"3,07",2,Acidente,40,7,19,"2,4",68,34,Não,28
62,Cauê Souza,Feminino,42,Casado,Técnico,Goiânia,GO,Centro-Oeste,CD Goiânia,Operações,Supervisor,Daniela da Mata,2016-12-18,"9,5",9994,CLT,Presencial,Não,Ativo,Não,,4,"3,51",5,Licença Médica,6,30,21,"3,4",84,2,Não,12
63,Gustavo Henrique Silva,Feminino,18,Solteiro,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Centro de Distribuição,Auxiliar Operacional,Sr. João Montenegro,2023-12-24,"2,5",2401,CLT,Presencial,Não,Ativo,Não,,2,"3,43",2,INSS,25,38,34,"3,4",79,27,Não,1
64,Isis Aragão,Feminino,18,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Comercial,Assistente,Otávio da Mota,2020-01-12,"6,5",4099,CLT,Híbrido,Não,Ativo,Não,,2,"1,36",15,Acidente,39,26,46,"4,1",78,11,Não,4
65,Alexandre Farias,Feminino,35,Divorciado,Fundamental,Curitiba,PR,Sul,CD Curitiba,RH,Gerente,João Castro,2021-01-21,"5,4",23262,CLT,Presencial,Não,Ativo,Não,,0,"3,11",2,INSS,27,30,23,"3,9",66,11,Não,9
66,Sra. Mariane Novais,Feminino,38,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Transporte,Analista,Daniel Barbosa,2019-06-28,7,4807,CLT,Presencial,Não,Ativo,Não,,1,"3,48",0,,42,-13,38,"3,4",49,31,Não,5
67,Srta. Ísis Andrade,Feminino,36,Solteiro,Pós,Goiânia,GO,Centro-Oeste,CD Goiânia,Comercial,Analista,Sr. Pedro Cardoso,2024-12-08,"1,6",5313,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,3,"3,74",0,,54,-19,59,"3,2",87,5,Não,30
68,Leandro Fonseca,Feminino,33,Divorciado,Superior,São Paulo,SP,Sudeste,CD São Paulo,Tecnologia,Analista,Luiz Henrique Costela,2017-11-18,"8,6",5350,CLT,Presencial,Não,Ativo,Não,,2,"2,81",5,INSS,12,37,16,"4,3",84,14,Não,20
69,Isadora Rios,Feminino,44,Casado,Médio,São Paulo,SP,Sudeste,CD São Paulo,Transporte,Motorista,Luiz Gustavo Vasconcelos,2019-12-11,"6,6",3127,CLT,Presencial,Sim,Inativo,Sim,Fim de Contrato,1,"1,02",0,,48,13,57,"4,2",93,36,Não,14
70,Maria Luísa Pinto,Masculino,43,Solteiro,Pós,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Supervisor,Srta. Isabela Castro,2018-08-01,"7,9",8827,Temporário,Presencial,Não,Ativo,Não,,1,"3,45",5,Licença Médica,22,40,13,"3,8",73,26,Não,28
71,Noah Alves,Masculino,25,Casado,Superior,Brasília,DF,Centro-Oeste,CD Brasília,RH,Coordenador,Lucas Gabriel Viana,2024-10-20,"1,7",14654,CLT,Presencial,Não,Ativo,Não,,2,"5,18",2,INSS,41,33,10,"3,6",75,12,Não,22
72,Isadora da Mata,Masculino,36,Casado,Médio,Salvador,BA,Nordeste,CD Salvador,Last Mile,Motorista,Cauê Garcia,2019-05-28,"7,1",4403,CLT,Presencial,Não,Ativo,Não,,1,"2,96",0,,8,15,19,"4,1",78,32,Não,22
73,Ravy Câmara,Masculino,43,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Centro de Distribuição,Supervisor,Raul Ferreira,2017-04-27,"9,2",9556,CLT,Presencial,Não,Ativo,Não,,3,"3,01",5,Acidente,43,20,58,"3,4",100,10,Não,6
74,Ian Câmara,Masculino,20,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Transporte,Analista,Gael Guerra,2020-05-22,"6,1",5207,CLT,Presencial,Não,Ativo,Não,,0,"3,65",2,Licença Médica,25,11,30,"3,1",93,7,Não,5
75,Dr. Bernardo Vargas,Feminino,50,Casado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Centro de Distribuição,Supervisor,Luiz Fernando Ramos,2022-08-25,"3,9",10883,CLT,Híbrido,Não,Ativo,Não,,1,"5,37",0,,57,21,39,"2,3",80,15,Não,11
76,Maria Liz Rocha,Feminino,36,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Transporte,Supervisor,Luísa Alves,2025-11-22,"0,6",10621,CLT,Presencial,Não,Ativo,Não,,1,"2,56",2,INSS,44,20,30,"3,6",71,1,Não,26
77,José Pedro Cavalcanti,Feminino,37,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Operações,Auxiliar Operacional,Julia Andrade,2018-04-14,"8,2",2138,CLT,Presencial,Não,Ativo,Não,,3,"3,93",10,Acidente,51,-14,23,3,74,8,Não,14
78,Pedro Henrique Ferreira,Feminino,34,Casado,Superior,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Conferente,Sra. Maya Pereira,2016-05-09,"10,2",2580,CLT,Híbrido,Não,Ativo,Não,,1,"3,17",0,,34,0,43,"3,2",84,3,Não,24
79,Bruna Gomes,Masculino,37,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Operações,Auxiliar Operacional,Esther da Cunha,2024-06-10,"2,1",1959,CLT,Presencial,Não,Ativo,Não,,1,"3,32",2,INSS,31,-10,59,"2,7",65,30,Não,23
80,Pedro Henrique Abreu,Feminino,23,Solteiro,Médio,Campinas,SP,Sudeste,CD Campinas,Operações,Supervisor,Zoe Rodrigues,2019-01-27,"7,4",10292,CLT,Presencial,Não,Ativo,Não,,0,"2,23",2,Licença Médica,20,31,44,"2,9",82,6,Não,26
81,Dra. Fernanda Fonseca,Masculino,35,Solteiro,Fundamental,Goiânia,GO,Centro-Oeste,CD Goiânia,Centro de Distribuição,Conferente,Ana Lívia Rios,2020-10-30,"5,7",2441,CLT,Presencial,Não,Inativo,Sim,Fim de Contrato,0,"3,31",5,INSS,60,-4,44,"1,4",61,10,Não,30
82,Dr. Davi Silveira,Masculino,44,Solteiro,Pós,Recife,PE,Nordeste,CD Recife,Centro de Distribuição,Supervisor,Thiago das Neves,2023-01-01,"3,5",9672,Temporário,Presencial,Não,Ativo,Não,,2,"1,63",0,,3,-11,59,"3,8",78,39,Não,20
83,Maria Luísa Duarte,Masculino,29,Solteiro,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Financeiro,Coordenador,Laís Novaes,2018-02-14,"8,4",14456,CLT,Presencial,Sim,Ativo,Não,,3,"2,12",15,Licença Médica,58,-10,24,"2,9",74,18,Não,6
84,Gael Leão,Feminino,43,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,RH,Coordenador,Maria Helena Rocha,2022-10-25,"3,7",13376,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,4,"3,64",10,Acidente,4,29,19,"3,6",75,20,Não,3
85,Srta. Liz Guerra,Masculino,27,Solteiro,Técnico,Salvador,BA,Nordeste,CD Salvador,Operações,Conferente,Agatha da Rosa,2018-02-19,"8,4",3184,CLT,Presencial,Não,Ativo,Não,,2,"3,78",0,,52,0,44,"3,6",77,31,Não,29
86,Gustavo Henrique Lopes,Masculino,45,Solteiro,Técnico,Curitiba,PR,Sul,CD Curitiba,Comercial,Assistente,Luna Martins,2019-06-10,"7,1",3569,CLT,Presencial,Não,Ativo,Não,,1,"4,54",10,INSS,46,3,53,"2,6",65,12,Não,21
87,Melina Rocha,Masculino,29,Casado,Fundamental,São Paulo,SP,Sudeste,CD São Paulo,Centro de Distribuição,Auxiliar Operacional,Thomas Melo,2023-07-06,3,2028,CLT,Presencial,Não,Ativo,Não,,2,"2,75",15,Acidente,2,4,19,"2,4",80,20,Não,13
88,Srta. Antonella da Paz,Feminino,42,Casado,Superior,Guarulhos,SP,Sudeste,CD Guarulhos,Centro de Distribuição,Supervisor,Lívia Borges,2024-03-03,"2,3",10806,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,2,"3,9",0,,47,3,44,4,84,25,Não,4
89,Leonardo Câmara,Feminino,30,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Last Mile,Supervisor,Diogo Alves,2018-05-20,"8,1",10959,CLT,Presencial,Não,Ativo,Não,,2,"2,17",15,Licença Médica,20,25,28,"2,6",78,21,Não,23
90,Joaquim Melo,Masculino,27,Solteiro,Fundamental,Guarulhos,SP,Sudeste,CD Guarulhos,Transporte,Analista,Ana Sophia Marques,2018-09-24,"7,8",4975,CLT,Remoto,Não,Ativo,Não,,3,"3,84",2,INSS,52,6,24,4,84,5,Não,14
91,Evelyn Silva,Masculino,30,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Financeiro,Coordenador,Sra. Sabrina Guerra,2021-12-24,"4,5",14986,CLT,Presencial,Não,Ativo,Não,,2,"1,33",0,,25,-11,14,"3,5",84,35,Não,5
92,Diogo Rezende,Feminino,32,Divorciado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Last Mile,Supervisor,Srta. Bianca Vasconcelos,2025-03-20,"1,3",9772,CLT,Presencial,Não,Inativo,Sim,Pedido de Demissão,1,"3,75",10,INSS,49,7,23,"3,2",63,9,Não,15
93,Hellena Cavalcanti,Masculino,35,Solteiro,Médio,Guarulhos,SP,Sudeste,CD Guarulhos,Transporte,Supervisor,Dra. Nicole Aragão,2016-07-23,"9,9",9686,CLT,Presencial,Não,Inativo,Sim,Desligamento sem Justa Causa,0,"2,14",0,,5,27,16,3,61,20,Não,9
